iter	RMSE
0	0.1057585901
1	0.1013718447
2	0.09723121144
3	0.09371224918
4	0.09019241136
5	0.08711305061
6	0.0845914811
7	0.08227219646
8	0.08036253743
9	0.07819702898
10	0.07652266144
11	0.0748331871
12	0.07321848597
13	0.07193659919
14	0.0705176645
15	0.06941236348
16	0.0685150834
17	0.06749330643
18	0.06664983187
19	0.06591263124
20	0.06498786821
21	0.06413350765
22	0.06335995734
23	0.06258959946
24	0.06206819202
25	0.06143698436
26	0.06086343004
27	0.06031335037
28	0.05982308866
29	0.05932114983
30	0.05888397143
31	0.05856310833
32	0.05822390775
33	0.05785161712
34	0.05741596891
35	0.05711754023
36	0.05684193583
37	0.05655133417
38	0.05627371205
39	0.05603405968
40	0.05572086738
41	0.05546140817
42	0.05526800531
43	0.05504952071
44	0.05485437643
45	0.05471823839
46	0.0545847313
47	0.05440040773
48	0.05424273396
49	0.05405188163
50	0.05390169317
51	0.05374888364
52	0.05358405562
53	0.05347447396
54	0.053301373
55	0.05319126911
56	0.05305052023
57	0.05291074624
58	0.05283851936
59	0.05272872642
60	0.05257998528
61	0.05241388742
62	0.05231503143
63	0.05221646791
64	0.05208423129
65	0.05195466087
66	0.05186166107
67	0.05175850464
68	0.05163746972
69	0.05152566623
70	0.05144650947
71	0.05135012099
72	0.05125781256
73	0.05115279587
74	0.05109336201
75	0.0509494269
76	0.05086069326
77	0.05078051173
78	0.05071281104
79	0.05063654806
80	0.05049513102
81	0.05041959259
82	0.05034084949
83	0.05027408758
84	0.05019221163
85	0.05009677327
86	0.04999778668
87	0.04993995971
88	0.04987838902
89	0.04978923458
90	0.04970901288
91	0.0496319102
92	0.04957080444
93	0.049481477
94	0.04941135911
95	0.04934095183
96	0.0492699665
97	0.04917815245
98	0.04908925574
99	0.04900342008
100	0.04893077521
101	0.04890180515
102	0.04883035561
103	0.04873731595
104	0.04866006019
105	0.04860522389
106	0.04853697606
107	0.04847527715
108	0.04839861947
109	0.04834555568
110	0.04824856295
111	0.04817445878
112	0.04809698671
113	0.04800344488
114	0.04794255417
115	0.04786244025
116	0.04780464613
117	0.04773676234
118	0.04766873897
119	0.04760666178
120	0.04752614963
121	0.04741281201
122	0.04737262711
123	0.04732463874
124	0.04726769253
125	0.04721386563
126	0.04712684568
127	0.047072994
128	0.0470270998
129	0.04698393909
130	0.04693028559
131	0.04689198563
132	0.04684462295
133	0.04677897683
134	0.04673443207
135	0.04667877024
136	0.04661619231
137	0.04658221392
138	0.04655057416
139	0.04649932082
140	0.0464471493
141	0.04640635221
142	0.04636255261
143	0.04630544004
144	0.04627247158
145	0.04622011178
146	0.04617305337
147	0.04614290177
148	0.04608146346
149	0.04600716316
150	0.04596228737
151	0.04591530696
152	0.04587373126
153	0.04582303404
154	0.04579358806
155	0.04576069655
156	0.04569369867
157	0.04565445737
158	0.04561438225
159	0.04558273534
160	0.04554286869
161	0.04549916193
162	0.04546959215
163	0.04540023086
164	0.04532256855
165	0.04527775351
166	0.04524071304
167	0.04521093026
168	0.04517975568
169	0.04514740772
170	0.045111893
171	0.04505526467
172	0.04501947625
173	0.04494501788
174	0.04491446003
175	0.04486034083
176	0.04483731881
177	0.04475937696
178	0.04469236807
179	0.04463802887
180	0.04458894735
181	0.04454659487
182	0.04450784257
183	0.04446012278
184	0.04442040067
185	0.04437391837
186	0.0443385255
187	0.04430153793
188	0.04425645146
189	0.04421472923
190	0.04416466126
191	0.04413008092
192	0.04407070192
193	0.04403391231
194	0.04399607682
195	0.0439637402
196	0.04388643452
197	0.04384636352
198	0.04381248188
199	0.04378445282
200	0.04374257786
